Timestamp,Level,Message
2025-09-08 19:33:45.734,Info,设备 车间温度传感器 已添加到管理器
2025-09-08 19:33:45.758,Info,设备 车间湿度传感器 已添加到管理器
2025-09-08 19:33:48.571,Info,温度传感器 车间温度传感器 已连接
2025-09-08 19:33:48.572,Info,温度传感器 车间温度传感器 开始采集数据
2025-09-08 19:33:49.386,Info,湿度传感器 车间湿度传感器 已连接
2025-09-08 19:33:49.386,Info,湿度传感器 车间湿度传感器 开始采集数据
2025-09-08 19:34:19.318,Info,温度传感器 车间温度传感器 停止采集数据
2025-09-08 19:34:19.322,Info,温度传感器 车间温度传感器 已断开
2025-09-08 19:34:19.334,Info,湿度传感器 车间湿度传感器 停止采集数据
2025-09-08 19:34:19.337,Info,湿度传感器 车间湿度传感器 已断开
