Timestamp,DeviceId,DeviceName,DataType,Value,Unit
2025-07-13 08:41:43.809,TEMP_001,车间温度传感器,Temperature,24.3,°C
2025-07-13 08:41:44.618,HUMI_001,车间湿度传感器,Humidity,43.9,%
2025-07-13 08:41:46.624,TEMP_001,车间温度传感器,Temperature,24.2,°C
2025-07-13 08:41:47.637,HUMI_001,车间湿度传感器,Humidity,44.1,%
2025-07-13 08:41:48.638,TEMP_001,车间温度传感器,Temperature,24.7,°C
2025-07-13 08:41:50.654,TEMP_001,车间温度传感器,Temperature,25,°C
2025-07-13 08:41:50.654,HUMI_001,车间湿度传感器,Humidity,44.9,%
2025-07-13 08:41:52.658,TEMP_001,车间温度传感器,Temperature,25.4,°C
2025-07-13 08:41:53.673,HUMI_001,车间湿度传感器,Humidity,43.5,%
2025-07-13 08:41:54.662,TEMP_001,车间温度传感器,Temperature,25.2,°C
2025-07-13 08:41:56.670,TEMP_001,车间温度传感器,Temperature,24.9,°C
2025-07-13 08:41:56.685,HUMI_001,车间湿度传感器,Humidity,42.6,%
2025-07-13 08:41:58.673,TEMP_001,车间温度传感器,Temperature,25.3,°C
2025-07-13 08:41:59.690,HUMI_001,车间湿度传感器,Humidity,44.2,%
2025-07-13 08:42:00.677,TEMP_001,车间温度传感器,Temperature,25.2,°C
2025-07-13 08:42:02.689,TEMP_001,车间温度传感器,Temperature,26,°C
2025-07-13 08:42:02.704,HUMI_001,车间湿度传感器,Humidity,43.9,%
2025-07-13 08:42:04.690,TEMP_001,车间温度传感器,Temperature,25.2,°C
2025-07-13 08:42:05.715,HUMI_001,车间湿度传感器,Humidity,46.3,%
2025-07-13 08:42:06.696,TEMP_001,车间温度传感器,Temperature,24.6,°C
2025-07-13 08:42:08.710,TEMP_001,车间温度传感器,Temperature,25,°C
2025-07-13 08:42:08.725,HUMI_001,车间湿度传感器,Humidity,44,%
2025-07-13 08:42:10.725,TEMP_001,车间温度传感器,Temperature,24.8,°C
2025-07-13 08:42:11.740,HUMI_001,车间湿度传感器,Humidity,42.2,%
2025-07-13 08:42:12.740,TEMP_001,车间温度传感器,Temperature,25.8,°C
2025-07-13 08:42:14.754,TEMP_001,车间温度传感器,Temperature,25.2,°C
2025-07-13 08:42:14.754,HUMI_001,车间湿度传感器,Humidity,44.6,%
